"tick","number_infected"
1.1,56707
2.1,105338
3.1,145733
4.1,180007
5.1,209086
6.1,233661
7.1,255377
8.1,275125
9.1,292915
10.1,309237
11.1,324259
12.1,338025
13.1,350992
14.1,362945
15.1,373809
16.1,384568
17.1,394473
18.1,403871
19.1,412876
20.1,421263
21.1,429337
22.1,436751
23.1,443858
24.1,450912
25.1,457524
26.1,464027
27.1,470058
28.1,475674
29.1,481260
30.1,486597
31.1,491930
32.1,496869
33.1,501678
34.1,506507
35.1,510911
36.1,515316
37.1,519526
38.1,523467
39.1,527375
40.1,531101
41.1,534687
42.1,538221
43.1,541656
44.1,545008
45.1,548101
46.1,551207
47.1,554151
48.1,557093
49.1,559834
50.1,562547
51.1,575923
52.1,595395
53.1,616461
54.1,635228
55.1,650613
56.1,662583
57.1,671813
58.1,678768
59.1,684034
60.1,688081
61.1,691372
62.1,693922
63.1,695979
64.1,697622
65.1,699037
66.1,700192
67.1,701150
68.1,701998
69.1,702740
70.1,703334
71.1,703877
72.1,704322
73.1,704720
74.1,705051
75.1,705370
76.1,705618
77.1,705877
78.1,706107
79.1,706304
80.1,706506
81.1,706673
82.1,706852
83.1,707016
84.1,707175
85.1,707315
86.1,707451
87.1,707570
88.1,707679
89.1,707773
90.1,707844
91.1,707939
92.1,708028
93.1,708093
94.1,708168
95.1,708231
96.1,708297
97.1,708370
98.1,708429
99.1,708509
